,Player,Year,Shift%,PlayerYear
0,Chris Davis,2016.0,0.928,2016 Chris Davis
1,Matt Carpenter,2018.0,0.889,2018 Matt Carpenter
2,Chris Davis,2015.0,0.861,2015 Chris Davis
3,Rhys Hoskins,2019.0,0.733,2019 Rhys Hoskins
4,Cody Bellinger,2019.0,0.8779999999999998,2019 Cody Bellinger
5,David Ortiz,2016.0,0.9199999999999999,2016 David Ortiz
6,Freddie Freeman,2019.0,0.8250000000000002,2019 Freddie Freeman
7,Matt Olson,2018.0,0.796,2018 Matt Olson
8,Brandon Belt,2019.0,0.885,2019 Brandon Belt
9,Freddie Freeman,2018.0,0.8219999999999998,2018 Freddie Freeman
10,David Ortiz,2015.0,0.8740000000000001,2015 David Ortiz
11,Joey Gallo,2018.0,0.9220000000000003,2018 Joey Gallo
12,Daniel Vogelbach,2019.0,0.8370000000000001,2019 Daniel Vogelbach
13,Max Muncy,2019.0,0.8190000000000001,2019 Max Muncy
14,Kole Calhoun,2019.0,0.88,2019 Kole Calhoun
15,Anthony Rizzo,2019.0,0.8490000000000001,2019 Anthony Rizzo
16,Chris Davis,2018.0,0.9530000000000001,2018 Chris Davis
17,Kyle Schwarber,2019.0,0.812,2019 Kyle Schwarber
18,Joey Gallo,2017.0,0.9170000000000001,2017 Joey Gallo
19,Matt Olson,2019.0,0.897,2019 Matt Olson
20,Kyle Seager,2018.0,0.8190000000000001,2018 Kyle Seager
21,Chris Davis,2017.0,0.96,2017 Chris Davis
22,Jay Bruce,2017.0,0.8340000000000001,2017 Jay Bruce
23,Anthony Rizzo,2018.0,0.8199999999999998,2018 Anthony Rizzo
24,Anthony Rizzo,2017.0,0.7290000000000001,2017 Anthony Rizzo
25,Bryce Harper,2019.0,0.7070000000000001,2019 Bryce Harper
26,Carlos Santana,2018.0,0.7,2018 Carlos Santana
27,Matt Carpenter,2019.0,0.9039999999999999,2019 Matt Carpenter
28,Anthony Rizzo,2016.0,0.735,2016 Anthony Rizzo
29,Justin Smoak,2017.0,0.7449999999999999,2017 Justin Smoak
30,Brandon Belt,2016.0,0.7070000000000001,2016 Brandon Belt
31,Mitch Moreland,2017.0,0.848,2017 Mitch Moreland
32,Curtis Granderson,2016.0,0.7140000000000001,2016 Curtis Granderson
33,Freddie Freeman,2016.0,0.685,2016 Freddie Freeman
34,Carlos Santana,2019.0,0.677,2019 Carlos Santana
35,Logan Morrison,2017.0,0.7979999999999999,2017 Logan Morrison
36,Matt Carpenter,2017.0,0.6659999999999999,2017 Matt Carpenter
37,Yasmani Grandal,2019.0,0.664,2019 Yasmani Grandal
38,Lucas Duda,2017.0,0.8930000000000002,2017 Lucas Duda
39,Kyle Seager,2017.0,0.695,2017 Kyle Seager
40,Lucas Duda,2015.0,0.7859999999999999,2015 Lucas Duda
41,Rougned Odor,2019.0,0.7579999999999998,2019 Rougned Odor
42,Justin Smoak,2018.0,0.7219999999999999,2018 Justin Smoak
43,Kole Calhoun,2018.0,0.8210000000000001,2018 Kole Calhoun
44,Curtis Granderson,2017.0,0.7400000000000001,2017 Curtis Granderson
45,Carlos Santana,2015.0,0.615,2015 Carlos Santana
46,Shin-Soo Choo,2019.0,0.644,2019 Shin-Soo Choo
47,Yonder Alonso,2018.0,0.7890000000000001,2018 Yonder Alonso
48,Kyle Schwarber,2017.0,0.8089999999999999,2017 Kyle Schwarber
49,Jay Bruce,2016.0,0.7400000000000001,2016 Jay Bruce
50,Brian McCann,2016.0,0.843,2016 Brian McCann
51,Carlos Santana,2017.0,0.6399999999999999,2017 Carlos Santana
52,Mitch Moreland,2016.0,0.8540000000000002,2016 Mitch Moreland
53,Carlos Santana,2016.0,0.605,2016 Carlos Santana
54,Adrian Gonzalez,2016.0,0.701,2016 Adrian Gonzalez
55,Mike Moustakas,2018.0,0.7040000000000002,2018 Mike Moustakas
56,Max Kepler,2019.0,0.7739999999999999,2019 Max Kepler
57,Michael Conforto,2018.0,0.6279999999999999,2018 Michael Conforto
58,Charlie Blackmon,2019.0,0.703,2019 Charlie Blackmon
59,Ryan Howard,2015.0,0.8759999999999999,2015 Ryan Howard
60,Justin Smoak,2019.0,0.8109999999999999,2019 Justin Smoak
61,Brian McCann,2015.0,0.787,2015 Brian McCann
62,Michael Conforto,2019.0,0.6339999999999999,2019 Michael Conforto
63,Dexter Fowler,2019.0,0.6759999999999998,2019 Dexter Fowler
64,Bryce Harper,2018.0,0.5670000000000001,2018 Bryce Harper
65,Anthony Rizzo,2015.0,0.588,2015 Anthony Rizzo
66,Cody Bellinger,2018.0,0.6109999999999999,2018 Cody Bellinger
67,Joc Pederson,2019.0,0.7809999999999997,2019 Joc Pederson
68,Kyle Seager,2019.0,0.872,2019 Kyle Seager
69,Kyle Schwarber,2018.0,0.7390000000000001,2018 Kyle Schwarber
70,Kendrys Morales,2017.0,0.672,2017 Kendrys Morales
71,Shin-Soo Choo,2018.0,0.565,2018 Shin-Soo Choo
72,Mike Moustakas,2019.0,0.7,2019 Mike Moustakas
73,Kyle Seager,2016.0,0.604,2016 Kyle Seager
74,Eric Thames,2019.0,0.8279999999999997,2019 Eric Thames
75,Jackie Bradley Jr.,2019.0,0.7,2019 Jackie Bradley Jr.
76,Brandon Moss,2016.0,0.8470000000000002,2016 Brandon Moss
77,Mike Moustakas,2017.0,0.6890000000000002,2017 Mike Moustakas
78,Adam LaRoche,2015.0,0.8089999999999999,2015 Adam LaRoche
79,Carlos Gonzalez,2016.0,0.6490000000000001,2016 Carlos Gonzalez
80,Brandon Moss,2015.0,0.7340000000000001,2015 Brandon Moss
81,Eddie Rosario,2019.0,0.7290000000000001,2019 Eddie Rosario
82,Edwin Encarnacion,2016.0,0.5140000000000001,2016 Edwin Encarnacion
83,Curtis Granderson,2018.0,0.8510000000000002,2018 Curtis Granderson
84,Brandon Belt,2018.0,0.8060000000000002,2018 Brandon Belt
85,Alex Gordon,2018.0,0.672,2018 Alex Gordon
86,Mookie Betts,2019.0,0.503,2019 Mookie Betts
87,Rougned Odor,2018.0,0.736,2018 Rougned Odor
88,Cody Bellinger,2017.0,0.6579999999999999,2017 Cody Bellinger
89,Ji-Man Choi,2019.0,0.7159999999999999,2019 Ji-Man Choi
90,Hunter Renfroe,2019.0,0.7120000000000002,2019 Hunter Renfroe
91,Cavan Biggio,2019.0,0.7649999999999999,2019 Cavan Biggio
92,Rougned Odor,2017.0,0.5940000000000001,2017 Rougned Odor
93,Austin Meadows,2019.0,0.569,2019 Austin Meadows
94,Chris Davis,2019.0,0.932,2019 Chris Davis
