Year,Player,Team,Games,PA,SB,ISO,Babip,CS,Spd,GB/FB,LD,GB,FB,IFFB,HR/FB,IFH,BUH,Pull,Cent,Oppo,Soft,Med,Hard,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone
2015.0,Mike Trout,Angels,159.0,682.0,11.0,0.29,0.344,7.0,5.0,0.97,24.4,37.2,38.4,2.5,25.3,12.7,0.0,38.2,33.2,28.7,11.6,47.6,40.8,24.4,55.6,38.1,66.3,87.7,80.0,44.0
2016.0,Mike Trout,Angels,159.0,681.0,30.0,0.235,0.371,7.0,6.6,1.12,22.1,41.2,36.7,2.6,19.0,10.5,0.0,40.5,32.9,26.6,12.0,46.3,41.7,23.0,60.3,38.8,70.6,87.0,81.4,42.3
2017.0,Mike Trout,Angels,114.0,507.0,22.0,0.323,0.318,4.0,6.2,0.82,18.4,36.7,44.9,9.9,23.2,11.2,0.0,40.2,35.8,24.1,19.0,42.7,38.3,19.7,61.5,37.7,68.1,90.1,83.5,43.1
2018.0,Mike Trout,Angels,140.0,608.0,24.0,0.316,0.346,2.0,5.9,0.69,23.4,31.3,45.3,9.4,24.5,10.0,0.0,40.2,37.3,22.5,16.0,39.6,44.4,21.8,59.1,37.6,69.0,91.7,84.1,42.4
2019.0,Mike Trout,Angels,134.0,600.0,11.0,0.353,0.298,2.0,4.9,0.49,26.6,24.3,49.2,9.8,25.9,11.6,0.0,42.4,33.3,24.3,13.0,43.2,43.8,20.5,61.2,36.8,69.2,88.8,82.3,40.1
2015.0,Mookie Betts,Red Sox,145.0,654.0,21.0,0.188,0.31,6.0,6.7,0.9,19.5,38.2,42.4,10.5,8.2,9.1,25.0,40.3,36.5,23.1,16.1,52.2,31.7,25.3,55.7,40.2,72.9,93.1,86.6,49.1
2016.0,Mookie Betts,Red Sox,158.0,730.0,26.0,0.216,0.322,4.0,6.4,1.05,19.3,41.4,39.4,12.3,13.2,7.3,50.0,39.7,35.1,25.2,17.4,49.2,33.4,25.5,58.4,41.2,71.6,94.8,87.3,47.6
2017.0,Mookie Betts,Red Sox,153.0,712.0,26.0,0.194,0.268,3.0,5.5,0.95,16.8,40.4,42.8,14.8,10.1,10.3,0.0,44.4,35.6,20.0,18.2,46.0,35.7,22.1,53.8,36.0,72.6,92.7,85.8,43.9
2018.0,Mookie Betts,Red Sox,136.0,614.0,30.0,0.294,0.368,6.0,7.0,0.75,21.2,33.9,44.9,9.2,16.4,9.5,0.0,47.2,34.8,18.0,12.2,43.3,44.5,19.8,57.0,35.6,70.7,93.0,85.9,42.6
2019.0,Mookie Betts,Red Sox,150.0,706.0,16.0,0.229,0.309,3.0,6.3,0.72,24.8,31.5,43.8,10.0,13.1,6.9,0.0,43.6,33.7,22.8,11.5,45.5,43.0,21.4,61.5,38.3,71.9,93.7,86.6,42.3
2015.0,Kris Bryant,Cubs,151.0,650.0,13.0,0.213,0.378,4.0,5.4,0.76,20.5,34.2,45.2,7.9,15.8,14.4,0.0,41.6,34.5,23.8,15.1,47.4,37.5,29.8,76.2,49.0,49.2,75.8,66.3,41.3
2016.0,Kris Bryant,Cubs,155.0,699.0,8.0,0.262,0.332,5.0,4.5,0.67,23.7,30.5,45.8,12.1,18.8,13.0,0.0,46.7,33.6,19.7,17.0,42.7,40.3,30.8,74.2,48.8,59.8,81.1,73.3,41.6
2017.0,Kris Bryant,Cubs,151.0,665.0,7.0,0.242,0.334,5.0,4.4,0.89,19.9,37.7,42.4,5.5,16.0,11.8,0.0,41.2,36.3,22.5,14.8,52.5,32.8,28.3,68.3,45.4,64.7,85.0,77.7,42.7
2018.0,Kris Bryant,Cubs,102.0,457.0,2.0,0.188,0.342,4.0,3.7,0.84,25.3,34.0,40.7,9.5,11.2,15.5,0.0,48.1,31.9,20.0,18.9,49.8,31.2,30.0,73.6,48.7,58.7,84.2,75.2,42.9
2019.0,Kris Bryant,Cubs,147.0,634.0,4.0,0.239,0.331,0.0,4.0,0.83,20.9,35.9,43.2,11.6,18.0,5.6,50.0,46.5,30.0,23.5,16.8,47.5,35.8,30.5,76.0,48.4,60.4,82.6,74.1,39.4
2015.0,Christian Yelich,Marlins,126.0,525.0,16.0,0.116,0.37,5.0,4.8,4.16,22.5,62.5,15.0,0.0,12.5,5.2,0.0,31.7,40.5,27.7,17.1,49.9,33.1,26.1,64.5,42.8,64.3,87.7,79.7,43.6
2016.0,Christian Yelich,Marlins,155.0,659.0,9.0,0.185,0.356,4.0,3.9,2.82,23.4,56.5,20.0,5.6,23.6,6.0,100.0,36.0,35.1,29.0,17.5,44.5,38.0,22.9,64.3,40.5,54.0,88.4,77.3,42.7
2017.0,Christian Yelich,Marlins,156.0,695.0,16.0,0.156,0.336,2.0,5.2,2.2,19.4,55.4,25.2,2.5,15.3,4.2,50.0,33.3,37.4,29.3,15.9,48.8,35.2,25.0,64.1,42.4,61.6,88.4,79.6,44.4
2018.0,Christian Yelich,Brewers,147.0,651.0,22.0,0.272,0.373,4.0,6.8,2.2,24.7,51.8,23.5,4.9,35.0,6.6,33.3,34.9,38.1,27.0,14.5,37.9,47.6,27.7,64.6,44.0,62.2,88.1,79.0,44.2
2019.0,Christian Yelich,Brewers,130.0,580.0,30.0,0.342,0.355,2.0,6.2,1.2,20.9,43.2,35.9,7.5,32.8,6.2,0.0,39.3,37.4,23.3,14.4,34.8,50.8,30.7,71.2,45.2,56.8,87.0,73.8,35.9
2015.0,Josh Donaldson,Blue Jays,158.0,711.0,6.0,0.271,0.314,0.0,4.5,1.18,17.3,44.8,37.9,9.6,21.8,5.0,33.3,42.9,33.5,23.6,14.4,48.3,37.3,25.1,70.7,45.7,60.2,82.8,76.0,45.3
